battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,resolution,DPI_w,call_ratio,cores_ord,speed_ord,sim_ord,wifi_ord,bluetooth_bin,screen_bin
972,0.7,107,681,1050,1900,16,8,19,Yes,4,triple,medium,Single,,4.0,54.8,LCD,b,912.35,177.7,333.38,51.16,3,2,0,2,1,0
1406,0.8,98,1017,1366,3915,9,8,2,No,4,triple,low,Dual,2.0,5.0,34.3,LCD,a,1468.61,359.23,433.71,703.0,3,1,1,3,0,0
1289,1.0,178,765,899,1043,6,2,11,No,4,hexa,low,Single,10.0,12.0,25.5,Touch,none,663.65,474.07,1141.73,117.18,6,1,0,1,0,1
932,0.7,154,1176,1224,3817,8,7,9,No,3,hepta,medium,Single,1.0,2.0,64.65,Touch,g,1013.96,405.58,444.14,103.56,7,2,0,4,0,1
1747,0.7,94,947,1131,2362,17,2,19,Yes,4,triple,low,Single,6.0,19.0,48.78,Touch,none,989.71,218.89,1436.37,91.95,3,1,0,1,1,1
1172,0.1,95,1314,1884,1107,7,3,5,Yes,2,triple,medium,Dual,4.0,7.0,41.83,LCD,none,721.19,766.08,1595.12,234.4,3,2,1,1,1,0
1128,0.4,84,609,1370,2982,14,9,12,Yes,3,penta,medium,Single,12.0,14.0,53.67,Touch,none,950.41,228.81,386.64,94.0,5,2,0,1,1,1
664,0.9,106,754,1497,2042,17,15,19,No,3,penta,medium,Dual,,5.0,28.62,Touch,none,694.58,187.79,253.49,34.95,5,2,1,1,0,1
513,0.1,186,619,867,1343,5,1,9,Yes,4,quad,low,Single,6.0,12.0,44.41,Touch,none,660.14,530.66,2202.18,57.0,4,1,0,1,1,1
1742,0.4,170,453,681,2610,12,3,10,No,4,hepta,high,Dual,9.0,12.0,43.06,LCD,n,1022.91,167.95,576.58,174.2,7,3,1,5,0,0
1512,0.7,162,205,884,2335,15,7,7,Yes,3,hepta,medium,Single,12.0,17.0,6.83,Touch,a,922.42,139.25,320.77,216.0,7,2,0,3,1,1
1986,0.1,165,282,1358,1614,17,12,3,No,4,octa,low,Dual,3.0,20.0,51.74,Touch,g,899.06,169.3,287.44,662.0,8,1,1,4,0,1
965,1.0,109,130,998,1138,9,8,10,Yes,2,dual,medium,Dual,5.0,14.0,13.17,Touch,none,426.25,212.29,316.87,96.5,2,2,1,1,1,1
1067,0.6,122,494,1989,604,16,14,11,Yes,4,octa,high,Dual,3.0,15.0,40.92,LCD,none,746.48,244.85,360.86,97.0,8,3,1,1,1,0
1583,0.8,118,275,862,3652,14,10,9,Yes,4,triple,medium,Single,5.0,10.0,42.43,LCD,none,1025.86,133.58,218.95,175.89,3,2,0,1,1,0
1653,0.9,176,447,1785,3955,19,4,18,No,4,quad,low,Dual,2.0,6.0,37.3,Touch,a,968.93,240.72,1133.48,91.83,4,1,1,3,0,1
1433,0.7,133,281,799,258,11,9,4,No,3,octa,medium,Single,7.0,11.0,5.0,Touch,a,651.92,151.37,225.5,358.25,8,2,0,3,0,1
765,0.1,153,6,793,1066,11,1,16,No,4,hepta,high,Single,,,18.71,Touch,none,812.74,182.36,2014.22,47.81,7,3,0,1,0,1
1845,0.3,96,292,695,1731,9,5,6,Yes,2,single,low,Dual,10.0,12.0,61.54,LCD,none,930.07,185.98,353.06,307.5,1,1,1,1,1,0
752,0.7,87,164,728,3860,7,5,16,No,2,hepta,low,Dual,1.0,13.0,48.15,LCD,none,629.95,220.34,369.82,47.0,7,1,1,1,0,0
1948,0.1,100,631,1940,3630,9,7,17,No,2,penta,high,Dual,8.0,10.0,16.64,Touch,none,1194.43,454.47,703.94,114.59,5,3,1,1,0,1
1077,1.0,174,897,1304,1965,6,2,6,No,4,triple,high,Dual,,4.0,45.76,Touch,none,902.55,635.64,1656.08,179.5,3,3,1,1,0,1
932,0.7,104,268,1078,1459,6,1,19,Yes,4,quad,low,Single,1.0,2.0,60.37,Touch,none,837.83,463.85,2738.12,49.05,4,1,0,1,1,1
1968,0.8,115,861,1259,2323,9,8,7,No,2,triple,low,Single,,7.0,22.61,LCD,a,1099.65,321.73,399.73,281.14,3,1,0,3,0,0
1122,0.6,120,331,790,3291,11,2,13,No,3,quad,medium,Single,9.0,14.0,2.58,Touch,n,1021.68,194.59,1003.3,86.31,4,2,0,5,0,1
1588,0.8,159,1064,1594,3272,18,0,17,No,4,single,low,Single,,13.0,61.35,Touch,none,826.61,270.44,0.0,93.41,1,1,0,1,0,1
601,0.3,101,509,548,918,9,1,12,No,2,quad,medium,Single,4.0,18.0,26.51,LCD,none,389.63,209.79,1391.92,50.08,4,2,0,1,0,0
1615,0.1,132,622,1256,3488,16,2,3,No,2,quad,low,Single,14.0,16.0,15.14,LCD,g,1140.83,220.78,1595.12,538.33,4,1,0,4,0,0
1589,0.1,128,957,1911,3961,16,14,14,Yes,3,quad,medium,Dual,2.0,4.0,58.58,LCD,n,1284.26,255.34,346.71,113.5,4,2,1,5,1,0
1417,0.9,114,494,1649,590,11,3,6,Yes,4,hexa,high,Single,2.0,4.0,56.67,LCD,a,647.84,383.48,1396.15,236.17,6,3,0,3,1,0
1697,0.1,95,236,1264,3701,15,9,8,Yes,4,single,low,Single,1.0,3.0,34.55,Touch,none,974.23,186.71,356.73,212.12,1,1,0,1,1,1
1330,0.3,83,980,1262,463,14,6,11,Yes,2,penta,medium,Dual,14.0,17.0,3.41,LCD,b,585.07,266.45,534.25,120.91,5,2,1,2,1,0
1476,0.7,148,1789,1972,3644,15,10,6,No,4,dual,low,Single,,2.0,43.5,LCD,a,1285.95,375.14,500.89,246.0,2,1,0,3,0,0
1579,0.2,142,831,1484,1713,16,4,10,Yes,3,hexa,medium,Single,,18.0,27.23,Touch,a,879.39,261.94,942.34,157.9,6,2,0,3,1,1
1277,0.3,200,902,1090,429,9,4,14,No,4,quad,high,Single,,3.0,41.22,Touch,a,783.51,364.88,692.15,91.21,4,3,0,3,0,1
1089,0.7,145,636,1259,2765,13,12,10,Yes,4,penta,low,Dual,12.0,15.0,2.63,LCD,a,740.42,202.51,266.49,108.9,5,1,1,3,1,0
1663,0.3,169,831,1439,2084,7,1,18,Yes,4,quad,high,Dual,13.0,14.0,27.89,LCD,none,1276.85,596.9,3655.06,92.39,4,3,1,1,1,0
1949,0.8,186,518,592,1125,17,10,9,No,2,penta,medium,Single,,4.0,20.56,LCD,none,793.78,101.3,150.37,216.56,5,2,0,1,0,0
1138,0.6,109,233,1777,2048,6,0,18,No,4,triple,medium,Single,5.0,14.0,48.83,Touch,b,661.53,758.7,0.0,63.22,3,2,0,2,0,1
685,0.3,174,725,870,1223,8,0,18,No,3,hexa,high,Single,7.0,20.0,17.75,LCD,g,734.54,359.56,0.0,38.06,6,3,0,4,0,0
1889,1.0,132,170,1106,3672,5,1,3,No,4,single,high,Single,5.0,10.0,31.33,Touch,a,1331.19,557.41,2809.24,629.67,1,3,0,3,0,1
857,0.2,195,157,948,3100,17,5,13,Yes,3,hepta,medium,Dual,3.0,9.0,17.21,Touch,none,914.99,137.74,481.58,65.92,7,2,1,1,1,1
1902,0.8,124,1142,1393,343,11,8,18,No,2,octa,high,Dual,6.0,9.0,50.27,Touch,none,779.43,336.38,442.28,105.67,8,3,1,1,0,1
1225,0.1,155,840,982,1970,16,8,15,Yes,3,penta,high,Single,,,15.58,Touch,none,975.29,183.49,311.79,81.67,5,3,0,1,1,1
1066,0.6,131,401,1586,2728,6,0,17,No,3,penta,medium,Single,5.0,17.0,39.53,Touch,b,616.51,692.53,0.0,62.71,5,2,0,2,0,1
1554,1.0,124,395,1579,3635,7,4,18,Yes,2,triple,low,Dual,11.0,12.0,5.38,LCD,none,936.18,512.79,1002.67,86.33,3,1,1,1,1,0
1337,0.8,186,48,644,2180,7,4,16,No,3,dual,low,Single,13.0,20.0,31.11,LCD,a,588.35,203.45,408.94,83.56,2,1,0,3,0,0
1926,0.4,172,982,1157,2488,6,1,14,Yes,4,triple,medium,Dual,1.0,2.0,33.32,LCD,none,1009.05,633.69,2938.78,137.57,3,2,1,1,1,0
869,0.1,104,478,539,3864,13,3,11,No,3,dual,medium,Dual,3.0,4.0,34.89,LCD,none,497.32,137.15,456.35,79.0,2,2,1,1,0,0
1278,0.1,104,581,750,1155,7,1,20,Yes,2,octa,low,Dual,1.0,16.0,54.54,LCD,g,778.1,340.79,1905.0,63.9,8,1,1,4,1,0
1773,0.6,170,1215,1472,3566,17,6,13,Yes,4,hexa,high,Single,16.0,18.0,32.28,LCD,n,1319.6,268.92,623.15,136.38,6,3,0,5,1,0
1661,1.0,109,594,1337,864,9,8,2,Yes,4,hepta,low,Dual,1.0,2.0,6.04,LCD,g,878.89,308.6,424.5,830.5,7,1,1,4,1,0
1438,0.6,176,683,1663,869,19,13,9,No,4,hepta,medium,Single,,6.0,32.36,Touch,g,832.29,198.35,324.92,159.78,7,2,0,4,0,1
1661,0.3,119,536,861,591,9,2,9,Yes,3,dual,medium,Single,,,29.36,Touch,a,724.82,279.42,1093.47,184.56,2,2,0,3,1,1
1846,0.7,159,83,773,1333,15,6,11,Yes,2,single,low,Single,1.0,2.0,19.25,Touch,b,646.91,122.23,327.24,167.82,1,1,0,2,1,1
1260,0.2,123,905,1313,2208,12,11,10,Yes,4,hepta,medium,Dual,2.0,10.0,23.59,LCD,a,1022.47,248.82,303.18,126.0,7,2,1,3,1,0
512,0.9,83,249,1849,2610,18,14,15,Yes,2,triple,low,Dual,7.0,15.0,15.32,Touch,g,757.98,207.81,335.46,34.13,3,1,1,4,1,1
581,0.7,185,803,1613,2819,19,17,9,No,2,penta,medium,Single,,6.0,59.12,LCD,a,539.42,179.51,241.0,64.56,5,2,0,3,0,0
1872,0.7,134,459,1259,1955,9,4,15,Yes,3,triple,high,Single,6.0,15.0,44.35,LCD,g,890.45,345.6,799.47,124.8,3,3,0,4,1,0
687,0.6,151,584,1151,3416,14,6,8,Yes,4,quad,medium,Single,9.0,20.0,50.22,Touch,none,1014.98,215.23,487.26,85.88,4,2,0,1,1,1
1062,0.9,160,1596,1807,3803,7,3,16,Yes,2,single,high,Dual,6.0,13.0,10.48,LCD,a,1004.53,804.08,1529.93,66.38,1,3,1,3,1,0
1678,0.5,192,418,1763,574,5,3,19,Yes,3,single,high,Dual,11.0,14.0,7.16,LCD,none,706.76,789.26,1492.67,88.32,1,3,1,1,1,0
1417,0.9,166,364,1029,2129,13,9,12,Yes,4,quad,low,Single,10.0,19.0,45.35,LCD,g,818.09,175.34,290.41,118.08,4,1,0,4,1,0
1074,0.9,103,946,952,1948,13,1,18,No,4,hexa,high,Dual,2.0,14.0,9.76,Touch,n,829.69,261.45,2418.08,59.67,6,3,1,5,0,1
1832,0.6,90,186,654,2978,18,7,18,No,2,hepta,low,Single,2.0,6.0,2.66,LCD,none,725.53,89.42,237.31,101.78,7,1,0,1,0,0
1039,0.8,200,1428,1827,1619,7,1,10,No,4,octa,medium,Single,,,12.65,Touch,n,1142.25,832.96,4640.58,103.9,8,2,0,5,0,1
1059,0.1,134,1613,1916,3716,15,13,11,No,3,triple,high,Single,8.0,18.0,61.6,Touch,none,1295.1,320.49,374.36,96.27,3,3,0,1,0,1
1606,0.1,154,1127,1924,3454,13,8,20,No,2,quad,medium,Single,3.0,4.0,57.33,LCD,b,1081.57,371.04,610.87,80.3,4,2,0,2,0,0
1928,1.0,187,691,1580,3777,7,2,13,Yes,4,triple,medium,Single,9.0,20.0,19.16,Touch,a,1428.24,601.67,2006.6,148.31,3,2,0,3,1,1
1875,0.7,91,1802,1942,2712,7,2,6,Yes,4,single,low,Dual,11.0,17.0,55.09,LCD,g,1416.24,924.32,2466.34,312.5,1,1,1,4,1,0
1128,0.9,135,751,1582,1434,5,0,11,Yes,4,octa,medium,Single,9.0,10.0,46.3,LCD,none,951.23,889.61,0.0,102.55,8,2,0,1,1,0
1748,0.5,146,859,1234,3968,16,12,3,No,4,triple,medium,Dual,6.0,7.0,14.4,LCD,b,979.39,190.95,261.2,582.67,3,2,1,2,0,0
1413,0.3,117,187,517,3383,16,5,2,No,2,penta,low,Dual,5.0,11.0,51.13,LCD,none,689.27,83.3,262.64,706.5,5,1,1,1,0,0
825,0.1,86,206,1917,3278,8,6,2,No,4,dual,low,Dual,,,23.62,LCD,a,839.04,489.72,811.53,412.5,2,1,1,3,0,0
1589,0.1,100,1673,1759,3970,16,8,18,Yes,4,octa,medium,Single,3.0,16.0,26.81,LCD,b,1190.41,344.69,558.48,88.28,8,2,0,2,1,0
535,0.5,145,710,939,2674,14,8,10,Yes,4,octa,low,Dual,8.0,15.0,53.86,LCD,none,869.07,185.44,298.13,53.5,8,1,1,1,1,0
1780,0.1,190,1331,1463,2776,19,17,14,Yes,3,quad,low,Single,6.0,11.0,27.21,Touch,g,1030.7,197.05,218.59,127.14,4,1,0,4,1,1
1671,0.1,129,263,848,2336,10,4,7,No,4,dual,low,Dual,7.0,11.0,61.52,LCD,none,1026.35,209.38,538.48,238.71,2,1,1,1,0,0
1821,0.3,114,97,1803,2430,7,4,6,No,4,single,low,Single,9.0,18.0,12.46,Touch,n,976.71,568.85,1144.91,303.5,1,1,0,5,0,1
1076,0.7,119,129,915,891,18,3,9,Yes,4,hexa,high,Single,3.0,8.0,38.34,Touch,none,780.37,128.62,774.7,119.56,6,3,0,1,1,1
532,0.1,193,1213,1354,728,13,5,8,Yes,3,penta,low,Dual,3.0,10.0,8.76,Touch,none,498.79,331.51,687.83,66.5,5,1,1,1,1,1
777,0.9,148,189,1143,3886,14,10,7,Yes,3,penta,high,Single,3.0,17.0,30.73,LCD,none,1441.35,171.04,290.32,111.0,5,3,0,1,1,0
1217,0.5,182,628,632,1711,7,3,9,Yes,3,quad,low,Single,3.0,13.0,17.64,LCD,a,598.29,297.15,535.09,135.22,4,1,0,3,1,0
1656,1.0,117,320,899,2856,14,3,20,Yes,3,hepta,medium,Dual,,2.0,16.56,Touch,g,1023.42,169.29,761.15,82.8,7,2,1,4,1,1
1185,0.4,152,837,1642,2447,16,2,3,No,3,octa,medium,Single,,7.0,31.93,Touch,n,875.72,290.32,2085.34,395.0,8,2,0,5,0,1
577,0.9,161,1087,1450,814,11,7,19,No,4,hexa,high,Single,8.0,20.0,37.93,Touch,g,767.61,353.03,526.14,30.37,6,3,0,4,0,1
737,0.6,193,781,1463,2951,7,0,10,Yes,2,quad,high,Dual,7.0,16.0,49.86,Touch,none,538.27,601.77,0.0,73.7,4,3,1,1,1,1
704,0.2,186,251,1013,3653,7,1,15,No,3,hexa,medium,Dual,4.0,6.0,53.11,Touch,n,721.15,374.88,2573.02,46.93,6,2,1,5,0,1
525,0.5,137,262,1587,1891,18,3,12,Yes,2,octa,low,Dual,5.0,11.0,51.62,Touch,none,455.79,223.89,1343.66,43.75,8,1,1,1,1,1
504,0.1,166,767,1665,701,17,15,15,Yes,3,single,low,Dual,5.0,9.0,16.8,LCD,b,532.97,205.38,281.94,33.6,1,1,1,2,1,0
793,0.6,176,1226,1815,3139,6,1,12,No,4,quad,medium,Dual,1.0,7.0,38.21,Touch,a,994.87,914.6,4610.1,66.08,4,2,1,3,0,1
569,0.1,184,389,739,2811,7,6,7,No,3,octa,low,Dual,2.0,9.0,39.54,LCD,a,821.3,230.08,312.84,81.29,8,1,1,3,0,0
1590,1.0,160,920,963,1701,11,4,4,No,4,penta,medium,Dual,3.0,18.0,21.48,LCD,g,929.52,289.02,611.5,397.5,5,2,1,4,0,0
707,0.1,194,1027,1508,1853,17,14,12,No,4,dual,low,Single,,,16.27,Touch,b,699.22,210.43,273.59,58.92,2,1,0,2,0,1
767,0.2,185,271,1000,2445,6,1,6,No,4,hexa,medium,Single,16.0,17.0,19.56,Touch,n,814.46,432.64,2540.0,127.83,6,2,0,5,0,1
1350,0.8,181,369,544,2287,15,1,8,Yes,4,octa,low,Dual,,4.0,50.38,Touch,none,940.56,111.06,1381.76,168.75,8,1,1,1,1,1
1117,0.2,146,1258,1627,2003,8,7,14,Yes,2,dual,low,Dual,,7.0,31.77,Touch,b,585.77,491.42,590.37,79.79,2,1,1,2,1,1
641,0.9,192,417,759,3595,7,5,19,Yes,4,single,medium,Single,,3.0,7.09,Touch,a,876.72,255.71,385.57,33.74,1,2,0,3,1,1
1002,0.5,83,1345,1416,1726,16,5,19,No,4,dual,low,Dual,,4.0,35.51,LCD,a,927.52,295.92,719.33,52.74,2,1,1,3,0,0
1408,0.9,89,613,1088,3952,8,6,3,Yes,2,penta,medium,Dual,10.0,14.0,46.09,LCD,g,1201.87,317.2,460.59,469.33,5,2,1,4,1,0
1900,0.5,190,912,1596,850,5,1,4,Yes,3,octa,medium,Dual,1.0,6.0,41.52,Touch,n,911.64,915.67,4053.84,475.0,8,2,1,5,1,1
726,0.1,101,666,760,1446,17,2,8,No,3,octa,high,Single,,,43.35,Touch,none,717.46,149.95,965.2,90.75,8,3,0,1,0,1
1544,0.1,113,236,857,1300,8,7,18,No,4,octa,high,Single,12.0,20.0,45.28,Touch,none,968.34,212.4,310.97,85.78,8,3,0,1,0,1
1454,0.2,160,186,1100,719,14,10,10,Yes,4,quad,medium,Single,6.0,10.0,21.68,Touch,a,760.95,164.7,279.4,145.4,4,2,0,3,1,1
1230,0.8,123,416,676,988,11,5,9,Yes,2,penta,medium,Dual,6.0,7.0,26.65,Touch,b,610.06,166.85,343.41,136.67,5,2,1,2,1,1
1552,0.3,180,430,658,2606,13,6,12,No,4,octa,medium,Single,10.0,18.0,53.43,LCD,none,937.06,139.45,278.55,129.33,8,2,0,1,0,0
1519,0.7,200,168,1239,2912,11,10,15,No,3,single,medium,Single,,10.0,32.7,Touch,none,1122.91,213.63,314.71,101.27,1,2,0,1,0,1
723,0.3,102,1467,1901,2339,19,9,17,Yes,2,single,medium,Single,4.0,7.0,30.74,Touch,a,665.28,290.11,536.5,42.53,1,2,0,3,1,1
1191,0.9,169,179,1813,1028,14,6,8,No,3,single,high,Dual,2.0,7.0,13.76,Touch,b,599.48,303.8,767.5,148.88,1,3,1,2,0,1
1168,0.1,90,159,1578,3173,9,4,17,No,2,octa,medium,Single,9.0,10.0,61.95,LCD,g,947.35,409.02,1002.03,68.71,8,2,0,4,0,0
1229,0.8,191,120,1878,1667,17,6,17,No,2,dual,low,Dual,15.0,16.0,14.11,LCD,b,749.74,265.14,795.02,72.29,2,1,1,2,0,0
1758,0.6,190,762,1864,1897,6,2,15,Yes,4,octa,low,Single,11.0,14.0,13.65,LCD,none,1132.37,808.74,2367.28,117.2,8,1,0,1,1,0
1290,0.1,143,600,1109,1214,9,8,15,No,2,hexa,low,Single,,4.0,3.48,Touch,a,535.53,265.97,352.11,86.0,6,1,0,3,0,1
574,0.1,90,286,1171,3269,8,7,10,No,2,hexa,high,Dual,16.0,17.0,38.51,Touch,none,409.27,288.03,424.91,57.4,6,3,1,1,0,1
1271,0.1,113,1350,1949,445,15,14,14,Yes,2,hepta,low,Single,12.0,15.0,32.71,LCD,b,652.56,293.5,353.6,90.79,7,1,0,2,1,0
1170,0.4,83,27,1722,1073,6,4,8,Yes,3,octa,medium,Single,4.0,15.0,30.42,Touch,none,791.64,606.62,1093.47,146.25,8,2,0,1,1,1
1269,0.8,118,1597,1920,665,18,5,5,Yes,2,dual,medium,Single,14.0,15.0,51.99,LCD,none,793.58,339.55,975.36,253.8,2,2,0,1,1,0
1288,0.1,121,1177,1809,3129,17,6,2,No,2,dual,high,Dual,15.0,20.0,50.36,LCD,none,663.75,304.08,765.81,644.0,2,3,1,1,0,0
1366,0.1,150,402,964,3501,13,11,3,Yes,4,dual,low,Dual,,9.0,34.95,LCD,none,1319.45,155.79,222.6,455.33,2,1,1,1,1,0
1572,0.8,169,577,1237,3461,6,3,10,Yes,4,penta,low,Dual,7.0,8.0,8.6,Touch,n,1097.94,516.83,1047.33,157.2,5,1,1,5,1,1
1627,0.1,180,52,1082,3206,12,6,16,No,4,hexa,low,Dual,9.0,16.0,32.48,Touch,none,1344.02,205.08,458.05,101.69,6,1,1,1,0,1
1701,0.9,115,364,828,3717,11,0,10,Yes,4,dual,low,Single,13.0,15.0,46.51,Touch,none,1357.34,208.85,0.0,170.1,2,1,0,1,1,1
1900,0.9,171,934,1241,3917,15,5,18,Yes,4,single,low,Dual,,1.0,55.83,LCD,b,1474.89,249.51,630.43,105.56,1,1,1,2,1,0
1974,0.3,80,250,545,861,7,4,6,No,3,hepta,medium,Single,4.0,13.0,24.24,LCD,b,549.71,188.9,346.08,329.0,7,2,0,2,0,0
1197,0.1,129,214,1710,2885,19,7,14,Yes,3,penta,low,Dual,9.0,10.0,20.62,Touch,g,833.66,216.18,620.49,85.5,5,1,1,4,1,1
587,0.7,170,612,1793,2777,9,2,14,Yes,3,single,high,Dual,4.0,16.0,6.45,Touch,none,765.24,521.96,2277.11,41.93,1,3,1,1,1,1
934,0.8,112,1111,1463,1017,12,7,9,No,2,penta,medium,Single,7.0,12.0,24.81,LCD,b,654.44,335.87,530.86,103.78,5,2,0,2,0,0
1195,0.1,82,163,1100,980,13,9,17,No,4,quad,medium,Dual,1.0,9.0,23.33,LCD,none,777.38,178.64,310.44,70.29,4,2,1,1,0,0
1853,0.4,92,202,1951,2775,14,4,17,Yes,3,single,medium,Single,2.0,15.0,23.45,LCD,none,1196.57,342.17,1238.88,109.0,1,2,0,1,1,0
1164,0.9,95,729,1704,3309,15,3,3,No,4,octa,medium,Single,4.0,18.0,19.61,LCD,a,874.6,307.75,1442.72,388.0,8,2,0,3,0,0
1512,0.1,88,1079,1897,3607,12,10,6,Yes,4,triple,low,Single,8.0,17.0,18.58,Touch,n,1074.35,354.87,481.84,252.0,3,1,0,5,1,1
1232,0.3,169,361,809,1257,16,10,16,No,4,penta,high,Dual,1.0,17.0,24.26,LCD,none,907.06,119.26,205.49,77.0,5,3,1,1,0,0
1813,0.2,198,338,1306,759,9,3,14,Yes,4,triple,low,Dual,,8.0,5.51,Touch,none,784.29,361.19,1105.75,129.5,3,1,1,1,1,1
946,0.1,166,1698,1771,3720,15,7,4,Yes,2,triple,high,Dual,17.0,20.0,5.14,Touch,none,720.11,376.48,642.62,236.5,3,3,1,1,1,1
739,0.1,88,1052,1536,475,7,6,6,Yes,4,triple,high,Dual,2.0,4.0,58.12,LCD,a,639.0,512.91,650.24,123.17,3,3,1,3,1,0
704,0.2,80,1108,1509,1122,9,3,10,Yes,4,single,high,Single,8.0,10.0,29.23,Touch,b,806.03,501.23,1277.62,70.4,1,3,0,2,1,1
1663,0.6,147,951,1545,1336,8,5,15,Yes,3,quad,low,Single,,15.0,40.52,LCD,none,840.38,488.46,784.86,110.87,4,1,0,1,1,0
1966,0.9,185,1197,1987,1185,11,2,20,Yes,2,octa,medium,Dual,2.0,18.0,40.47,Touch,none,808.01,527.0,2523.49,98.3,8,2,1,1,1,1
1219,0.7,196,473,1022,705,11,3,6,No,2,penta,medium,Dual,,4.0,17.64,Touch,b,406.4,250.88,865.29,203.17,5,2,1,2,0,1
612,0.6,181,1294,1337,3169,14,9,6,Yes,2,penta,low,Single,6.0,12.0,35.93,LCD,none,916.54,283.96,377.33,102.0,5,1,0,1,1,0
1658,0.7,182,410,522,3483,10,1,15,Yes,4,single,medium,Single,,5.0,39.53,LCD,a,984.36,167.76,1325.88,110.53,1,2,0,3,1,0
1263,0.3,175,178,1883,1183,14,3,17,No,2,penta,low,Single,12.0,18.0,64.77,LCD,b,639.34,335.54,1594.27,74.29,5,1,0,2,0,0
1395,0.6,118,782,1787,3373,11,2,16,Yes,4,triple,high,Single,,1.0,55.41,Touch,none,1382.07,443.15,2269.49,87.19,3,3,0,1,1,1
621,0.1,151,434,910,2801,6,1,5,Yes,3,quad,high,Dual,,20.0,54.5,Touch,a,677.15,421.0,2311.4,124.2,4,3,1,3,1,1
652,0.6,142,464,781,565,18,12,9,No,2,triple,low,Dual,1.0,2.0,58.3,LCD,a,440.42,106.66,165.31,72.44,3,1,1,3,0,0
1175,0.1,145,137,1501,3153,9,4,12,No,3,dual,low,Single,10.0,12.0,25.54,LCD,none,811.19,388.71,953.14,97.92,2,1,0,1,0,0
561,0.1,163,492,1176,3421,16,2,5,Yes,3,octa,medium,Single,,10.0,11.5,Touch,a,790.31,200.81,1493.52,112.2,8,2,0,3,1,1
1137,0.9,173,1250,1285,316,15,14,17,No,4,penta,medium,Single,6.0,7.0,3.78,LCD,none,934.44,221.92,233.14,66.88,5,2,0,1,0,0
1835,0.1,193,385,583,448,18,17,14,Yes,4,hepta,high,Single,4.0,13.0,11.22,LCD,none,629.71,71.67,87.11,131.07,7,3,0,1,1,0
1170,0.4,169,427,684,2366,16,8,2,No,3,hexa,high,Dual,2.0,5.0,39.96,Touch,a,826.61,114.49,217.17,585.0,6,3,1,3,0,1
1595,0.7,85,1024,1838,3881,14,10,9,Yes,4,quad,low,Dual,,20.0,44.48,LCD,b,1411.33,310.62,466.85,177.22,4,1,1,2,1,0
1719,0.3,122,240,904,462,6,3,5,Yes,2,octa,medium,Single,,7.0,13.04,LCD,none,388.89,354.15,765.39,343.8,8,2,0,1,1,0
1770,0.8,128,886,1552,1480,6,1,17,No,3,hepta,high,Dual,,6.0,7.33,LCD,none,869.73,746.24,3942.08,104.12,7,3,1,1,0,0
1312,0.8,163,1233,1854,1087,17,16,14,No,4,dual,low,Dual,,,28.45,LCD,none,1046.69,242.25,294.32,93.71,2,1,1,1,0,0
1878,0.3,139,183,559,2711,8,2,3,No,4,penta,medium,Dual,5.0,13.0,57.05,Touch,g,1355.13,181.18,709.93,626.0,5,2,1,4,0,1
1871,0.1,81,88,1682,2144,13,12,12,Yes,4,hepta,medium,Single,7.0,14.0,20.89,Touch,b,686.94,241.81,356.02,155.92,7,2,0,2,1,1
922,0.9,188,1016,1383,1165,19,6,4,No,4,hepta,medium,Dual,1.0,15.0,35.55,Touch,b,929.49,218.76,585.47,230.5,7,2,1,2,0,1
1975,0.9,128,80,655,2998,5,4,13,Yes,4,octa,medium,Single,6.0,11.0,15.93,Touch,none,1339.15,261.76,415.93,151.92,8,2,0,1,1,1
1212,0.3,102,611,1715,2249,14,3,4,No,4,quad,high,Single,1.0,8.0,46.34,Touch,b,904.36,322.97,1452.03,303.0,4,3,0,2,0,1
1430,0.1,179,569,906,752,17,8,17,Yes,2,triple,low,Single,3.0,5.0,56.3,LCD,b,578.87,144.63,287.66,84.12,3,1,0,2,1,0
1958,0.2,190,304,637,1409,16,5,3,Yes,2,dual,medium,Dual,,3.0,4.19,LCD,none,799.19,106.95,323.6,652.67,2,2,1,1,1,0
1836,0.2,184,276,1230,3072,7,3,5,Yes,4,hepta,medium,Dual,,15.0,30.32,Touch,none,906.63,420.43,1041.4,367.2,7,2,1,1,1,1
557,0.5,125,1131,1315,1305,12,8,3,Yes,3,triple,medium,Single,,,24.56,LCD,b,654.94,305.47,417.51,185.67,3,2,0,2,1,0
539,0.1,145,551,599,3597,14,5,9,Yes,2,hepta,low,Dual,9.0,14.0,21.39,LCD,none,440.46,139.06,304.29,59.89,7,1,1,1,1,0
880,0.5,172,436,1302,3132,8,7,6,No,2,octa,low,Dual,1.0,15.0,44.62,Touch,a,685.08,328.08,472.44,146.67,8,1,1,3,0,1
1369,0.5,162,553,727,3856,18,4,18,Yes,2,single,medium,Dual,6.0,7.0,34.47,Touch,n,805.31,125.82,461.65,76.06,1,2,1,5,1,1
1109,0.4,98,1391,1787,1524,15,10,7,Yes,3,single,high,Dual,1.0,9.0,39.41,Touch,n,1061.0,319.06,453.9,158.43,1,3,1,5,1,1
843,0.1,166,981,1096,3673,12,1,20,No,3,penta,medium,Dual,,6.0,16.48,LCD,b,634.14,310.27,2783.84,42.15,5,2,1,2,0,0
